timestamp,ir_raw,red_raw,hr,spo2,status
1780930577.4588084,170243,131944,60,88,LOW O2
1780930577.6582634,169741,132082,63,89,LOW O2
1780930577.8585355,169883,131727,60,90,LOW O2
1780930578.0593705,170064,131760,60,89,LOW O2
1780930578.2599566,169351,131670,60,88,LOW O2
1780930578.460557,170004,131865,60,89,LOW O2
1780930578.6613204,169964,131590,60,89,LOW O2
1780930578.8619528,170104,131576,60,88,LOW O2
1780930579.0627406,169883,131727,60,88,LOW O2
1780930579.2631679,170064,131760,60,87,LOW O2
1780930579.4641097,170261,131573,60,86,LOW O2
1780930579.6647272,169573,131072,60,86,LOW O2
1780930579.865257,169006,130846,60,87,LOW O2
1780930580.0660203,170104,131576,60,87,LOW O2
1780930580.2665627,169912,131516,60,85,LOW O2
1780930580.4671888,168956,130563,61,84,LOW O2
1780930580.6677086,168210,130286,61,86,LOW O2
1780930580.868288,169573,131072,61,87,LOW O2
1780930581.0689282,169006,130846,61,87,LOW O2
1780930581.269798,168295,130253,62,88,LOW O2
1780930581.4704359,168067,130157,64,88,LOW O2
1780930581.6713483,168956,130563,64,88,LOW O2
1780930581.8719933,168210,130286,61,89,LOW O2
1780930582.0726194,167528,129918,64,89,LOW O2
1780930582.2732954,167620,129868,68,89,LOW O2
1780930582.4739606,167551,129812,65,91,LOW O2
1780930582.6811705,168067,130157,66,92,LOW O2
1780930582.888,167434,129726,69,93,LOW O2
1780930583.0947282,168079,130080,69,92,LOW O2
1780930583.3023126,167491,129918,67,91,LOW O2
1780930583.5077372,167018,129547,65,91,LOW O2
1780930583.7131324,167680,129845,65,90,LOW O2
1780930583.9183197,167457,129630,65,90,LOW O2
1780930584.1206841,166986,129447,64,89,LOW O2
1780930584.3267941,167369,129682,64,90,LOW O2
1780930584.5319474,167130,129445,68,90,LOW O2
1780930584.7371118,167432,129504,68,91,LOW O2
1780930584.9423068,167211,129573,68,92,LOW O2
1780930585.1462138,167096,129343,63,92,LOW O2
1780930585.351493,167363,129460,66,92,LOW O2
1780930585.5599933,167130,129490,66,92,LOW O2
1780930585.7608516,167003,129347,62,92,LOW O2
1780930585.9685962,167206,129373,59,91,LOW O2
1780930586.17665,166968,129312,63,90,LOW O2
1780930586.3845875,166261,128970,67,91,LOW O2
1780930586.5925877,167388,129470,64,91,LOW O2
1780930586.8010194,165509,128610,64,91,LOW O2
1780930587.0019922,165360,128573,66,91,LOW O2
1780930587.209902,167163,129371,68,92,LOW O2
1780930587.4178443,163982,128285,68,92,LOW O2
1780930587.6190195,164505,128584,67,92,LOW O2
1780930587.826974,165722,128713,67,93,LOW O2
1780930588.0353398,164134,128878,66,93,LOW O2
1780930588.2432663,164907,128429,65,94,NORMAL
1780930588.4516823,164995,129362,62,94,NORMAL
1780930588.6600635,164068,128367,64,94,NORMAL
1780930588.8684692,165020,129538,61,95,NORMAL
1780930589.076868,165012,129604,62,95,NORMAL
1780930589.2852266,164180,128902,62,95,NORMAL
1780930589.486587,165788,129921,62,95,NORMAL
1780930589.6870492,166006,129984,64,96,NORMAL
1780930589.8950467,165548,129667,63,96,NORMAL
1780930590.103703,165634,129802,64,96,NORMAL
1780930590.3124065,165008,129633,65,96,NORMAL
1780930590.520583,164060,128792,67,96,NORMAL
1780930590.7298865,165861,129927,67,96,NORMAL
1780930590.92987,165764,129882,64,95,NORMAL
1780930591.138153,163806,129124,66,95,NORMAL
1780930591.3460755,165615,129802,64,95,NORMAL
1780930591.5541046,165901,130062,63,95,NORMAL
1780930591.7626054,165338,129897,61,96,NORMAL
1780930591.971152,162806,128536,63,96,NORMAL
1780930592.1794775,165867,130191,65,96,NORMAL
1780930592.3875895,164020,129133,65,96,NORMAL
1780930592.5889964,166197,130349,65,95,NORMAL
1780930592.7972214,165928,130366,65,94,NORMAL
1780930593.0053983,165249,129834,65,94,NORMAL
1780930593.2068222,166409,130603,63,93,LOW O2
1780930593.416402,165976,130241,61,93,LOW O2
1780930593.624484,166225,130543,61,91,LOW O2
1780930593.8322344,166108,130567,61,91,LOW O2
1780930594.0336127,165942,130335,56,90,LOW O2
1780930594.2413566,166599,130773,56,90,LOW O2
1780930594.442667,166953,130899,56,89,LOW O2
1780930594.6504304,166796,130733,51,90,LOW O2
1780930594.8578627,166187,130708,56,90,LOW O2
1780930595.065793,166023,130475,56,90,LOW O2
1780930595.2670052,166314,130646,61,91,LOW O2
1780930595.4748812,166005,130530,62,91,LOW O2
1780930595.682858,166797,130833,63,92,LOW O2
1780930595.8910248,165692,130600,63,92,LOW O2
1780930596.0921865,165825,130564,63,94,NORMAL
1780930596.3001907,166551,130871,63,94,NORMAL
1780930596.5011797,162165,129319,63,94,NORMAL
1780930596.7021778,162450,129471,63,95,NORMAL
1780930596.9102087,164757,130151,63,95,NORMAL
1780930597.1116254,165692,130600,63,95,NORMAL
