timestamp,ir_raw,red_raw,hr,spo2,status
1781009818.5927255,164486,122970,61,80,LOW O2
1781009818.7932866,163951,122509,60,81,LOW O2
1781009818.993951,163987,122792,61,81,LOW O2
1781009819.194551,164024,122942,61,82,LOW O2
1781009819.3953464,164546,123170,64,84,LOW O2
1781009819.5959089,164305,123066,65,86,LOW O2
1781009819.7905614,164486,122970,65,86,LOW O2
1781009819.9972718,165438,123375,68,86,LOW O2
1781009820.197917,164364,123064,68,87,LOW O2
1781009820.3986726,164191,122973,66,86,LOW O2
1781009820.598911,164546,123170,63,86,LOW O2
1781009820.799493,164305,123066,65,87,LOW O2
1781009821.0002787,164256,122939,70,88,LOW O2
1781009821.1952434,164172,122915,70,88,LOW O2
1781009821.4018354,164381,123069,64,89,LOW O2
1781009821.6024528,164191,122973,64,90,LOW O2
1781009821.7972298,164216,123031,64,90,LOW O2
1781009822.003774,164206,122827,62,90,LOW O2
1781009822.1983576,164185,122788,62,90,LOW O2
1781009822.3989863,164172,122915,62,90,LOW O2
1781009822.6053705,164381,123069,66,91,LOW O2
1781009822.8063138,164208,122791,68,92,LOW O2
1781009823.0069103,164182,122838,70,92,LOW O2
1781009823.2075925,164206,122827,71,92,LOW O2
1781009823.419376,164185,122788,70,92,LOW O2
1781009823.623872,164326,122867,68,92,LOW O2
1781009823.828281,164469,123028,71,93,LOW O2
1781009824.0325797,164208,122791,71,92,LOW O2
1781009824.2371938,164321,122804,65,91,LOW O2
1781009824.4413226,164346,122837,65,90,LOW O2
1781009824.6453893,164305,122909,68,90,LOW O2
1781009824.8495078,164217,122740,68,91,LOW O2
1781009825.053528,164109,122583,68,90,LOW O2
1781009825.2574844,164497,122901,64,90,LOW O2
1781009825.4482677,164532,123036,64,90,LOW O2
1781009825.6627128,164186,122799,61,89,LOW O2
1781009825.866769,164394,122898,61,88,LOW O2
1781009826.057497,164217,122740,61,88,LOW O2
1781009826.259355,164211,122542,61,88,LOW O2
1781009826.4735029,164273,122609,65,87,LOW O2
1781009826.6783547,164532,123036,68,87,LOW O2
1781009826.8700578,164632,122416,68,87,LOW O2
1781009827.071255,164224,122306,68,87,LOW O2
1781009827.2854788,164188,122582,68,86,LOW O2
1781009827.4769397,164211,122542,68,86,LOW O2
1781009827.691325,163732,122209,68,85,LOW O2
1781009827.8835669,163706,122115,68,85,LOW O2
1781009828.0840533,164632,122416,68,85,LOW O2
1781009828.2981322,164224,122306,65,84,LOW O2
1781009828.502922,164267,121955,61,84,LOW O2
1781009828.6945496,163941,122255,61,84,LOW O2
1781009828.9087274,163732,122209,60,84,LOW O2
1781009829.1003609,163998,122038,60,84,LOW O2
1781009829.3014548,164555,122405,60,84,LOW O2
1781009829.515876,163878,122155,60,85,LOW O2
1781009829.7205489,165317,122450,60,86,LOW O2
1781009829.9256072,164815,122659,65,87,LOW O2
1781009830.1168506,164022,122166,65,87,LOW O2
1781009830.331119,163998,122038,61,88,LOW O2
1781009830.535901,165160,122221,61,89,LOW O2
1781009830.740136,165073,122168,61,90,LOW O2
1781009830.9446304,165317,122450,61,93,LOW O2
1781009831.149174,165480,122544,61,94,NORMAL
1781009831.353367,164946,122631,60,95,NORMAL
1781009831.5442624,165200,122084,60,95,NORMAL
1781009831.7587855,165895,122446,60,96,NORMAL
1781009831.963066,165945,122317,60,97,NORMAL
1781009832.154178,165261,122603,60,97,NORMAL
1781009832.3552322,166387,121762,60,97,NORMAL
1781009832.5562057,167492,122051,60,97,NORMAL
1781009832.7570288,165579,122335,60,97,NORMAL
1781009832.957688,165895,122446,60,97,NORMAL
1781009833.1722534,167684,122317,64,97,NORMAL
1781009833.3765745,167284,122468,61,97,NORMAL
1781009833.5810642,166387,121762,60,97,NORMAL
1781009833.7731416,167389,122051,60,97,NORMAL
1781009833.9865458,169185,122767,61,97,NORMAL
1781009834.191104,167974,122276,63,97,NORMAL
1781009834.3819096,167684,122598,63,97,NORMAL
1781009834.5964968,167972,122349,68,97,NORMAL
1781009834.7877264,167838,122422,68,97,NORMAL
1781009834.9891489,167389,122276,68,97,NORMAL
1781009835.203221,169185,122767,63,97,NORMAL
1781009835.4079654,167354,122388,62,97,NORMAL
1781009835.5987785,168556,122280,62,97,NORMAL
1781009835.800055,167972,122349,62,97,NORMAL
1781009836.014623,167356,122676,63,97,NORMAL
1781009836.2060087,167330,122254,63,97,NORMAL
1781009836.4069755,167760,122569,63,97,NORMAL
1781009836.6213825,167354,122388,65,97,NORMAL
1781009836.8259819,165008,121358,63,97,NORMAL
1781009837.0173206,167337,122555,63,97,NORMAL
1781009837.2181373,167356,122676,63,97,NORMAL
1781009837.4191504,166564,121837,63,97,NORMAL
1781009837.6331944,166226,122018,65,97,NORMAL
1781009837.8375406,166333,122024,67,97,NORMAL
1781009838.0288253,165008,121358,67,97,NORMAL
